Year,Model,Total Price
2024,"00 
Nextbase front-and rear-facing dash camera",66.5
2024,"00 
Medium taxi-screen",32.5
2024,0 8,6394.0
2024,,39090.0
2024,0 8,6971.5
2024,,42555.0
2024,0 8,7126.5
2024,,43485.0
2024,Premium Sound System with 9 speakers including a subwoofer,91.67
2024,"00 
Toyota Skyview",93.33
2024,"00 
Tech Pack",175.0
2024,360,250.0
2024,"00 
Premium Pack",258.33
2024,"00 
Metallic Paint",109.17
2024,"00 
Premium Paint",158.33
2024,"00 
Bi-tone Paint",58.33
2024,"00 
Bi-tone Metallic Paint",167.5
2024,"00 
Bi-tone",216.67
2024,"00 
Bi-tone Premium Paint",51.67
2024,"00 
Bi-tone",51.67
2024,"CUSTOMISATION
Factory options  Design Excel GR SPORT Exc VAT VAT Inc VAT
19",151.67
2024,"00
Protection",33.54
2024,"25
Protection",51.77
2024,"62
Style Pack",58.33
2024,"00
Side Steps",100.63
2024,"76
Sport Pack",54.69
2024,13-Pin,91.15
2024,"88
Nextbase front-facing dash camera",36.0
2024,"99
Nextbase front-and rear-facing dash camera",45.33
2024,"99
Medium taxi-screen",24.0
2024,0 8,6089.0
2024,,37260.0
2024,0 8,6529.0
2024,,39900.0
2024,"14

--- Page 15 ---
For full specifi  cation details on Prius Plug-in go to www",109.17
2024,"00 
Premium Paint",158.33
2024,"00 
CUSTOMISATION
Factory options  Design Excel Exc VAT VAT Inc VAT
Essential Protection Pack",42.5
2024,"00 
Protection",53.17
2024,0 2,7013.17
2024,,42805.0
2024,0 2,7404.83
2024,,45155.0
2024,0 2,7838.17
2024,,47755.0
2024,0 2,8004.83
2024,,48755.0
2024,0 2,8004.83
2024,,48755.0
2024,0 2,8438.17
2024,,51355.0
2024,0 2,8438.17
2024,,51355.0
2024,"AWD - Al l Wheel Drive FWD - Front Wheel Drive
16

--- Page 17 ---
For full specifi  cation details on Toyota bZ4X go to www",90.0
2024,"00 
Metallic Paint",113.33
2024,"00 
Pearlescent Paint",160.83
2024,"00 
CUSTOMISATION
Factory options  Pure Motion Vision Exc VAT VAT Inc VAT
Essential Protection Pack",40.83
2024,"00 
Protection",48.33
2024,13-pin,118.33
2024,13-pin,134.17
2024,13-pin,118.33
2024,13-pin,134.17
2024,210 30,6482.33
2024,,39620.0
2024,260 31,6871.5
2024,,41955.0
2024,210 31,6979.83
2024,,42605.0
2024,260 31,7369.0
2024,,44940.0
2024,260 31,7629.0
2024,,46500.0
2024,"00 
OPTION PRICES
Factory options Design Excel GR SPORT Exc VAT VAT Inc VAT
Toyota Skyview",143.33
2024,2x full range speakers and subwoofer,130.83
2024,"00 
Pure White Paint",65.0
2024,"00 
Metallic Paint",113.33
2024,"00 
Premium Paint",160.83
2024,"00 
Premium Paint",53.33
2024,"00 
Bi-tone Metallic Paint",76.67
2024,"00 
Bi-tone Premium Paint",130.0
2024,"18

--- Page 19 ---
For full specifi  cation details on RAV4 go to www",57.5
2024,"00 
Side steps",127.5
2024,"00 
18",183.33
2024,"00 
18",186.67
2024,"00 
18",171.67
2024,"00 
Chrome Pack",83.33
2024,7-Pin,115.83
2024,13-Pin,118.33
2024,13-Pin,132.5
2024,"00 
Nextbase front-facing dash camera",46.5
2024,"00 
Nextbase front-and rear-facing dash camera",59.83
2024,"00 
Large taxi-screen",35.0
2024,0 8,7232.33
2024,,44120.0
2024,0 8,8034.83
2024,,48935.0
2024,"20

--- Page 21 ---
For full specifi  cation details on RAV4 Plug-in go to www",143.33
2024,"00 
Metallic Paint",113.33
2024,"00 
Premium Paint",160.83
2024,"00 
Premium Paint",53.33
2024,"00 
Bi-tone",76.67
2024,"00 
Bi-tone Premium Paint",112.5
2024,"00 
CUSTOMISATION
Factory options  Design GR SPORT Exc VAT VAT Inc VAT
Essential Protection Pack",45.83
2024,"00
Side steps",99.17
2024,Detachable - 7-Pin,127.5
2024,13-Pin,115.83
2024,7-Pin,130.0
2024,13-Pin,135.83
2024,8 VVT-i Auto 140 DIN hp 100 LCV,23570.0
2024,,28284.0
2024,,4835.0
2024,"Corolla LCV
22

--- Page 23 ---
 Accessories
A wide range of accessories is available",109.17
2024,"00 
CUSTOMISATION Commercial Exc VAT VAT Inc VAT
Essential Protection P ack",27.5
2024,"00 
Protection",50.83
2024,"00 
Parking Pack",113.33
2024,"00 
Rear Parking Pack",56.67
2024,"00 
Style Pack Black",70.83
2024,"00 
Style Pack Red",60.0
2024,"00 
Nextbase front-facing dash camera",49.17
2024,"00 
Nextbase front-and rear-facing dash camera",62.5
2024,340 37,7479.83
2024,,45605.0
2024,340 37,7704.0
2024,,46950.0
2024,340 37,7749.83
2024,,47225.0
2024,340 37,10225.67
2024,,62080.0
2024,340 37,10370.67
2024,,62950.0
2024,"24

--- Page 25 ---
For full specifi  cation details on Land Cruiser go to www",145.0
2024,"00 
Metallic paint",121.67
2024,"00 
Pearlescent paint",160.83
2024,"00 
CUSTOMISATION
Factory options  Active Invincible Exc VAT VAT Inc VAT
Essential Protection Pack 5-door 5-seat",33.33
2024,"00 
Essential Protection Pack 5-door 7-seat",33.33
2024,"00 
19",238.33
2024,7-Pin,109.17
2024,13-Pin,99.17
2024,13 Pin,99.17
2024,7-Pin,115.83
2024,Detachable - 13 Pin,125.83
2024,"00 
Nextbase front-facing dash camera",49.17
2024,"00 
Nextbase front- and rear-facing dash camera",62.5
2024,269,320.0
2024,,33333.0
2024,,5676.5
2024,249,320.0
2024,,32622.0
2024,,5558.0
2024,236,320.0
2024,,34145.0
2024,,5811.83
2024,241,320.0
2024,,34906.0
2024,,5938.67
2024,232,320.0
2024,,37494.0
2024,,6370.0
2024,241,320.0
2024,,39017.0
2024,,6623.83
2024,234,320.0
2024,,40489.0
2024,,6869.17
2024,242,320.0
2024,,42011.0
2024,,7122.83
2024,223,320.0
2024,,40844.0
2024,,6928.33
2024,246,320.0
2024,,42366.0
2024,,7182.0
2024,225,320.0
2024,,44904.0
2024,,7605.0
2024,248,320.0
2024,,46426.0
2024,,7858.67
2024,248,320.0
2024,,48634.0
2024,,8226.67
2024,248,320.0
2024,,48634.0
2024,,8226.67
2024,248,320.0
2024,,72824.8
2024,,12258.47
2024,"OPTION PRICES Active Icon Invincible Invincible XInvincible X 
AT35GR SPORT 
with Sports 
BarGR SPORT",121.67
2024,,121.67
2024,Pearlescent paint,160.83
2024,,160.83
2024,"CUSTOMISATION Active Icon Invincible Invincible XInvincible X 
AT35GR SPORT 
with Sports 
BarGR SPORT",86.67
2024,,86.67
2024,Plastic bed liner underrail,91.67
2024,,91.67
2024,"Plastic bed liner overrail - 
Single Cab",61.67
2024,,61.67
2024,Plastic bed liner overrail - Extra Cab,100.0
2024,,100.0
2024,"Plastic bed liner overrail - 
Double Cab",99.17
2024,,99.17
2024,Spray-on bed liner underrail,115.0
2024,,115.0
2024,Spray-on bed liner underrail,117.5
2024,,117.5
2024,Spray-on bed liner underrail,119.17
2024,,119.17
2024,Spray-on bed liner overrail,113.33
2024,,113.33
2024,Spray-on bed liner overrail,114.17
2024,,114.17
2024,Spray-on bed liner overrail,114.17
2024,,119.17
2024,"27

--- Page 28 ---
Hilux continued
CUSTOMISATIONActive Icon Invincible Invincible XInvincible X 
AT35GR SPORT 
with Sports 
BarGR SPORT",159.17
2024,,159.17
2024,Aluminium bed liner,192.5
2024,,192.5
2024,Aluminium bed liner,220.0
2024,,220.0
2024,Twin side utility box,100.0
2024,,100.0
2024,Rear deck utility box,95.0
2024,,95.0
2024,Sliding deck fl  oor,291.67
2024,,291.67
2024,Sliding Deck Floor,294.17
2024,,294.17
