Year,Model,Total Price,Price_Tier,Location,Average_Price_SGD,Category,Variant,Without COE Price,With COE Price,Average_Price_GBP
2023,"--- Page 1 ---
PRICE LIST

--- Page 2 ---
2024,,39038.33,Mid,UK,,,,,,
2024,0,46204.0,High,UK,,,,,,
2024,,41985.0,High,UK,,,,,,
2024,,39163.33,Mid,UK,,,,,,
2024,0,51704.0,High,UK,,,,,,
2024,,47485.0,High,UK,,,,,,
2024,,43746.67,High,UK,,,,,,
2024,0,51854.0,High,UK,,,,,,
2024,,47635.0,High,UK,,,,,,
2024,,43871.67,High,UK,,,,,,
2024,0,43864.0,High,UK,,,,,,
2024,,39645.0,Mid,UK,,,,,,
2024,,37213.33,Mid,UK,,,,,,
2024,0,49464.0,High,UK,,,,,,
2024,,45245.0,High,UK,,,,,,
2024,,41880.0,High,UK,,,,,,
2024,,27019.0,Mid,UK,,,,,,
2024,,28094.0,Mid,UK,,,,,,
2024,,28844.0,Mid,UK,,,,,,
2024,,30434.0,Mid,UK,,,,,,
2024,,31484.0,Mid,UK,,,,,,
2024,0,36694.0,Mid,UK,,,,,,
2024,,34975.0,Mid,UK,,,,,,
2024,,31238.33,Mid,UK,,,,,,
2024,0,37444.0,Mid,UK,,,,,,
2024,,35725.0,Mid,UK,,,,,,
2024,,31863.33,Mid,UK,,,,,,
2024,0,37794.0,Mid,UK,,,,,,
2024,,36075.0,Mid,UK,,,,,,
2024,,32155.0,Mid,UK,,,,,,
2024,0,38544.0,Mid,UK,,,,,,
2024,,36825.0,Mid,UK,,,,,,
2024,,32780.0,Mid,UK,,,,,,
2024,0,37519.0,Mid,UK,,,,,,
2024,,35800.0,Mid,UK,,,,,,
2024,,31925.83,Mid,UK,,,,,,
2024,0,38619.0,Mid,UK,,,,,,
2024,,36900.0,Mid,UK,,,,,,
2024,,32842.5,Mid,UK,,,,,,
2023,ZRE210R-GEXGPZ,,Low,Singapore,,6 STANDARD,C1,158888.0,157888.0,
2023,NGX10R-AHXNXQ,,Low,Singapore,,5 ACTIVE HYBRID,A1,162888.0,161888.0,
2023,NGX10R-AHXEXQ,,Low,Singapore,,5 EXCITE HYBRID,M1,168888.0,167888.0,
2023,NSP170R-MWYQKT,,Low,Singapore,,5 ELEGANCE HYBRID,E4,166988.0,165988.0,
2023,SEDAN,,Mid,Singapore,,"6 DEC 2023 
CATEGORY B COE",CAMRY,235888.0,234888.0,
2023,ASU60R-ANTMT,,Mid,Singapore,,0 PREMIUM HYBRID,E1,220888.0,219888.0,
2023,PREMIUM,,Mid,Singapore,,5,HYBRID,252888.0,251888.0,
2023,PREMIUM,,Mid,Singapore,,5,HYBRID,260888.0,259888.0,
2023,AGH30R-PFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,411888.0,410888.0,
2023,AGH30R-NFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,414888.0,413888.0,
2023,ZRE210R-GEXGPZ,,Low,Singapore,,6 STANDARD,C1,171888.0,170888.0,
2023,NGX10R-AHXNXQ,,Low,Singapore,,5 ACTIVE HYBRID,A1,175888.0,174888.0,
2023,NGX10R-AHXEXQ,,Low,Singapore,,5 EXCITE HYBRID,M1,181888.0,180888.0,
2023,NSP170R-MWYQKT,,Low,Singapore,,5 ELEGANCE HYBRID,E4,179988.0,178988.0,
2023,SEDAN,,Mid,Singapore,,"18 OCT 2023 
CATEGORY B COE",CAMRY,241888.0,240888.0,
2023,ASU60R-ANTMT,,Mid,Singapore,,0 PREMIUM HYBRID,E1,226888.0,225888.0,
2023,PREMIUM,,Mid,Singapore,,5,HYBRID,258888.0,257888.0,
2023,PREMIUM,,Mid,Singapore,,5,HYBRID,266888.0,265888.0,
2023,AGH30R-NFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,420888.0,419888.0,
2024,NGX10R-AHXNXQ,,Low,Singapore,,5 ACTIVE HYBRID,A1,169388.0,168388.0,
2024,NSP170R-MWYQKT,,Low,Singapore,,5 ELEGANCE HYBRID,E4,173988.0,172988.0,
2024,SEDAN,,Mid,Singapore,,"7 FEB 2024 
CATEGORY B COE",CAMRY,232888.0,231888.0,
2024,ASU60R-ANTMT,,Mid,Singapore,,0 PREMIUM HYBRID,E1,212888.0,211888.0,
2024,PREMIUM,,Mid,Singapore,,5,HYBRID,252888.0,251888.0,
2024,AGH30R-PFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,394888.0,393888.0,
2024,AGH30R-NFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,397888.0,396888.0,
2024,ZRE210R-GEXGPZ,,Low,Singapore,,6 STANDARD,C1,158888.0,157888.0,
2024,NGX10R-AHXNXQ,,Low,Singapore,,5 ACTIVE HYBRID,A1,173888.0,172888.0,
2024,NSP170R-MWYQKT,,Low,Singapore,,5 ELEGANCE HYBRID,E4,185888.0,184888.0,
2024,ZWE211R-GEXVBZ,,Low,Singapore,,8 HYBRID,H1,191888.0,190888.0,
2024,ASU60R-ANTMT,,Low,Singapore,,0 PREMIUM HYBRID,E1,197888.0,196888.0,
2024,PREMIUM,,Mid,Singapore,,5,HYBRID,235888.0,234888.0,
2024,PREMIUM,,Mid,Singapore,,5,HYBRID,241888.0,240888.0,
2024,AGH30R-PFXLK,,High,Singapore,,5 ELEGANCE HYBRID,E4,296888.0,393888.0,
2024,E4,,High,Singapore,,NFXLK,POA,396888.0,395888.0,
